;postal_code;latitude;longitude
735;3482;48.4667;15.8167
736;3483;48.4333;15.77915
737;3484;48.4274;15.777075
738;3485;48.4333;15.738866666666668
739;3491;48.5167;15.744040000000002
740;3492;48.4333;15.7342
741;3493;48.45;15.7167
742;3494;48.4332;15.692266666666669
743;3495;48.4542;15.7202
744;3500;48.4375;15.588954545454545
750;3506;48.3789;15.6563
752;3508;48.3679;15.635185714285711
753;3511;48.3667;15.595685714285713
754;3512;48.3842;15.553599999999998
755;3521;48.4836;15.419157142857143
756;3522;48.4833;15.370307142857143
757;3524;48.4836;15.2934
758;3525;48.45;15.266766666666667
759;3531;48.55;15.287616666666668
760;3532;48.558;15.340854545454546
761;3533;48.5833;15.266085714285714
762;3541;48.4311;15.5379625
763;3542;48.5167;15.47590476190476
764;3543;48.5191;15.445014285714285
765;3544;48.5833;15.474975
766;3550;48.5;15.66675
767;3552;48.45;15.57955
768;3553;48.4875;15.5815
769;3561;48.4833;15.675
770;3562;48.55;15.6772
771;3564;48.55;15.7
772;3571;48.5833;15.642783333333334
773;3572;48.5937;15.560899999999998
774;3573;48.6167;15.619099999999998
775;3580;48.6627;15.644678571428573
776;3591;48.65;15.57668
777;3592;48.6477;15.5097
778;3593;48.6667;15.4646625
779;3594;48.6;15.395242857142858
780;3595;48.6833;15.497139999999998
781;3601;48.3958;15.514566666666669
782;3602;48.3926;15.5051
783;3610;48.4333;15.438385714285712
784;3611;48.4167;15.39065
785;3613;48.4833;15.369841666666666
786;3620;48.3992;15.367042857142858
787;3621;48.3649;15.387
788;3622;48.3992;15.336525
789;3623;48.4333;15.300076
790;3631;48.4361;15.1954875
791;3632;48.4333;15.1201375
792;3633;48.4361;15.047691666666667
793;3641;48.3225;15.403825
794;3642;48.3252;15.39005
795;3643;48.3269;15.346872222222222
796;3644;48.2877;15.338076923076924
797;3650;48.3333;15.215105769230773
798;3652;48.2463;15.253066666666664
799;3653;48.2833;15.25358148148148
800;3654;48.3003;15.261478571428572
801;3660;48.2167;15.2167
802;3661;48.25;15.195421428571429
803;3662;48.25;15.141628571428573
804;3663;48.3163;15.1435
805;3664;48.4;15.156276470588235
806;3665;48.3333;15.09334
807;3671;48.2333;15.145685714285715
808;3672;48.2167;15.165033333333334
809;3680;48.1896;15.0916
810;3681;48.2273;15.062877777777778
811;3683;48.2273;15.062599999999998
812;3684;48.2273;15.0666
813;3691;48.2251;14.993214285714286
814;3701;48.5167;15.983609090909091
815;3702;48.4667;16.05
816;3704;48.5;15.933299999999996
817;3710;48.5;15.94034
818;3711;48.5306;15.87305
819;3712;48.55;15.842525
820;3713;48.5833;15.778888888888888
821;3714;48.6458;15.931971428571428
822;3720;48.55;15.852385714285717
823;3721;48.5833;15.864375
824;3722;48.6102;15.8573
825;3730;48.6667;15.829185714285714
826;3741;48.6955;15.85702
827;3742;48.7333;15.789733333333333
828;3743;48.6985;15.8036
829;3744;48.6423;15.728566666666666
830;3751;48.6768;15.7448
831;3752;48.7167;15.73007142857143
832;3753;48.7333;15.639871428571428
833;3754;48.7333;15.555342857142858
834;3761;48.6942;15.520966666666666
835;3762;48.75;15.482833333333332
836;3763;48.8061;15.57085
837;3800;48.7667;15.36666
838;3804;48.7;15.295483333333332
839;3811;48.75;15.395825
840;3812;48.8;15.4124875
841;3813;48.7907;15.4343
842;3814;48.7907;15.4752375
843;3820;48.85;15.483053333333334
844;3822;48.8782;15.401975
845;3823;48.9119;15.461125
846;3824;48.8782;15.521216666666668
847;3830;48.8;15.283720833333334
848;3834;48.8167;15.18369090909091
849;3841;48.7833;15.287350000000002
850;3842;48.8549;15.27497142857143
851;3843;48.9;15.30726
852;3844;48.9333;15.343833333333334
853;3851;48.9167;15.240066666666666
854;3852;48.9;15.213744444444444
855;3860;48.8833;15.116672727272729
856;3861;48.9083;15.160733333333331
857;3862;48.9;15.103475
858;3863;48.9833;15.138866666666669
859;3871;48.9101;15.015875
860;3872;48.8333;15.0611
861;3873;48.8833;15.025
862;3874;48.9667;15.057070588235296
863;3900;48.7667;15.26255
864;3902;48.75;15.185022222222225
865;3903;48.7167;15.207116666666666
866;3910;48.5833;15.164296875
867;3911;48.5167;15.081264285714283
868;3912;48.4667;15.1562375
869;3913;48.5167;15.185766666666666
870;3914;48.5167;15.231971428571429
871;3920;48.5712;14.959940909090909
872;3921;48.6;14.896794444444444
873;3922;48.65;14.948076923076922
874;3923;48.646;15.013616666666666
875;3924;48.5712;15.015816666666666
876;3925;48.4667;14.94282
877;3931;48.65;15.06105
878;3932;48.7076;15.105644444444444
879;3942;48.7333;15.1167
880;3943;48.7731;15.063775
881;3944;48.7667;15.105566666666666
882;3945;48.7667;15.0468
883;3950;48.7833;14.963122222222225
886;3961;48.7333;14.9751875
887;3962;48.7333;14.852783333333331
888;3970;48.6833;14.867078260869564
889;3971;48.6833;14.830718181818185
890;3972;48.6333;14.832681818181818
891;3973;48.5833;14.7988
900;4020;48.3064;14.262
907;4030;48.3064;14.2861
913;4040;48.3064;14.270133333333332
919;4048;48.3281;14.238400000000002
920;4050;48.1957;14.241739999999998
922;4052;48.2097;14.2747375
923;4053;48.2003;14.24487777777778
925;4055;48.1772;14.21138
928;4060;48.2797;14.24243
929;4061;48.2784;14.203
930;4062;48.2569;14.146572727272728
931;4063;48.2427;14.185769230769232
932;4064;48.2572;14.144491666666667
934;4070;48.2969;14.031093617021275
