Zipcode,Latitude,Longitude
3714,48.6256,15.9437
3720,48.5467,15.8451
3721,48.5842,15.8702
3722,48.613,15.8666
3730,48.6386,15.8348
3741,48.7126,15.8548
3742,48.732,15.7908
3743,48.667,15.9002
3744,48.6544,15.7463
3751,48.691,15.7523
3752,48.7322,15.7217
3753,48.7585,15.6528
3754,48.7546,15.5477
3761,48.7182,15.5338
3762,48.7561,15.4697
3763,48.7966,15.5594
3800,48.7232,15.3849
3804,48.6879,15.3318
3811,48.7528,15.3861
3812,48.8001,15.4141
3813,48.7982,15.3642
3814,48.8107,15.4878
3820,48.8496,15.4784
3822,48.8872,15.4056
3823,48.9233,15.4593
3824,48.8945,15.5319
3830,48.8148,15.2808
3834,48.8394,15.195
3841,48.7677,15.2919
3842,48.8654,15.2868
3843,48.9142,15.3151
3844,48.954,15.3544
3851,48.9348,15.2222
3852,48.8948,15.2253
3860,48.8568,15.1259
3861,48.9098,15.1496
3862,48.9198,15.1014
3863,48.9654,15.149
3871,48.8489,15.0034
3872,48.8411,15.0631
3873,48.8728,15.0283
3874,48.9526,15.0466
3900,48.7379,15.2718
3902,48.773,15.1768
3903,48.7111,15.2113
3910,48.6172,15.173
3911,48.5233,15.0777
3912,48.4928,15.1533
3913,48.5246,15.1916
3914,48.5219,15.2577
3920,48.5677,14.9913
3921,48.5714,14.8539
3922,48.6454,14.9388
3923,48.6409,15.0218
3924,48.6011,15.0525
3925,48.4753,14.9237
3931,48.6553,15.0665
3932,48.7208,15.1006
3942,48.7471,15.1181
3943,48.8022,15.0783
3944,48.7754,15.1078
3945,48.7632,15.0479
3950,48.7738,14.9954
3961,48.728,15.0156
3962,48.7563,14.857
3970,48.6934,14.9151
3971,48.6684,14.8325
3972,48.6187,14.82
3973,48.5951,14.7528
4020,48.2876,14.3031
4030,48.2474,14.3351
4040,48.3448,14.2864
4048,48.3265,14.2277
4050,48.2241,14.2385
4052,48.2077,14.2922
4053,48.1956,14.2518
4055,48.1831,14.2031
4060,48.2727,14.2416
4061,48.2521,14.204
4062,48.2602,14.1419
4063,48.2171,14.1762
4064,48.2363,14.125
4070,48.3062,14.0062
4072,48.2837,14.1013
4073,48.3,14.1887
4074,48.3492,13.9329
4075,48.2645,13.9954
4076,48.2664,13.927
4081,48.3736,13.9732
4082,48.3876,14.0169
4083,48.4149,13.9038
4084,48.3875,13.8736
4085,48.4452,13.808
4090,48.4967,13.6927
4091,48.5251,13.6573
4092,48.537,13.5943
4100,48.3358,14.1911
4101,48.3562,14.0705
4102,48.3232,14.11
4111,48.3503,14.15
4112,48.3846,14.1174
4113,48.4148,14.0391
4114,48.4301,13.9939
4115,48.4548,13.9971
4116,48.4793,14.059
4120,48.4937,14.0217
4121,48.4933,13.957
4122,48.5256,14.0019
4131,48.4338,13.9501
4132,48.4972,13.9114
4133,48.467,13.8881
4134,48.5167,13.8657
4141,48.5117,13.8249
4142,48.4914,13.7981
4143,48.5096,13.7527
4144,48.5518,13.7928
4150,48.577,13.9929
4151,48.5933,13.9424
4152,48.5546,13.8863
4153,48.6169,13.8928
4154,48.5919,13.8374
4155,48.6371,13.8378
4160,48.6632,13.9958
4161,48.689,13.9414
4162,48.6677,13.8445
4163,48.7279,13.8904
4164,48.7358,13.8525
4170,48.5881,14.0782
4171,48.5209,14.0807
4172,48.4971,14.1307
4173,48.4721,14.1567
4174,48.4474,14.081
4175,48.4185,14.1127
4180,48.4668,14.2735
4181,48.4574,14.2197
4182,48.4799,14.1909
4183,48.511,14.2159
4184,48.5539,14.1492
4190,48.5316,14.2885
4191,48.5579,14.2328
4192,48.514,14.3594
4193,48.5485,14.3775
4201,48.3968,14.1999
4202,48.4289,14.3
4203,48.3758,14.3373
4204,48.454,14.3678
4209,48.3297,14.4082
4210,48.3692,14.4341
4211,48.4051,14.4041
4212,48.4374,14.4597
4221,48.2895,14.3743
4222,48.2731,14.4605
4223,48.3077,14.497
4224,48.3429,14.492
4225,48.2756,14.4217
4230,48.3593,14.5573
4232,48.3821,14.5136
4240,48.5115,14.4835
4242,48.485,14.4182
4251,48.5625,14.6639
4252,48.5244,14.8164
4261,48.5652,14.4498
4262,48.6201,14.4734
4263,48.5848,14.5627
4264,48.5479,14.5227
4271,48.5031,14.6124
4272,48.4992,14.7061
4273,48.4482,14.7879
4274,48.3932,14.7361
4280,48.4165,14.8602
4281,48.3594,14.8075
4282,48.3611,14.7544
4283,48.3591,14.6765
4284,48.3478,14.6122
4291,48.4731,14.551
4292,48.4317,14.5376
4293,48.4287,14.6029
4294,48.4506,14.6853
4300,48.1685,14.5409
4303,48.2039,14.5684
4310,48.2457,14.5344
4311,48.2761,14.5864
4312,48.2886,14.5232
4320,48.2693,14.6229
4322,48.2868,14.6819
4323,48.2693,14.7283
4324,48.3121,14.7012
4331,48.2101,14.6359
4332,48.2321,14.5817
4341,48.2303,14.7147
4342,48.2081,14.7488
4343,48.1895,14.7007
4351,48.2031,14.7953
4352,48.2361,14.7874
4360,48.2316,14.8474
4362,48.2716,14.8199
4363,48.3212,14.8244
4364,48.305,14.7566
4371,48.303,14.9
4372,48.3754,14.9087
4381,48.2454,14.9069
4382,48.2211,14.951
4391,48.2819,14.9569
4392,48.3381,14.9831
4400,48.0312,14.3784
4407,48.0945,14.4294
4421,47.997,14.3212
4431,48.0628,14.5195
4432,48.1323,14.4987
4441,48.043,14.4842
4442,47.9971,14.4898
4443,47.9334,14.6125
4451,47.9921,14.4093
4452,47.9569,14.3508
4453,47.9067,14.3522
4460,47.9261,14.44
4461,47.9402,14.4883
4462,47.8415,14.4447
4463,47.8643,14.5321
4464,47.7921,14.6224
4470,48.2089,14.4554
4481,48.2339,14.4078
4482,48.211,14.4992
4483,48.1522,14.4237
4484,48.141,14.4603
4490,48.2011,14.378
4491,48.1591,14.3303
4492,48.1475,14.3817
4493,48.0969,14.359
4501,48.1458,14.2279
4502,48.1424,14.2964
4511,48.1548,14.1769
4521,48.0843,14.282
4522,48.0492,14.2831
4523,48.0414,14.3363
4531,48.1128,14.1802
4532,48.0679,14.2021
4533,48.1054,14.2243
4540,48.0273,14.1906
4541,48.0007,14.2082
4542,47.9683,14.1643
4550,48.0577,14.1235
4551,48.021,14.0749
4552,47.9908,14.0918
4553,47.9386,14.124
4554,47.9265,14.1617
4560,47.9015,14.1203
4562,47.89,14.0365
4563,47.8771,14.1366
4564,47.8317,14.1423
4565,47.9201,14.0731
4571,47.7863,14.0825
4572,47.765,14.1995
4573,47.6824,14.1203
4574,47.6999,14.2255
4575,47.7215,14.2814
4580,47.7509,14.4254
4581,47.6881,14.4605
4582,47.6616,14.3485
4591,47.852,14.2939
4592,47.8966,14.2153
4593,47.9405,14.2198
4594,47.966,14.2343
4595,48.0076,14.2668
4596,47.9574,14.2805
4600,48.1608,14.0349
4611,48.2206,14.0275
4612,48.2581,14.0231
4613,48.2356,14.0643
4614,48.1949,14.1105
4615,48.2297,14.0907
4616,48.1551,14.1208
4621,48.1058,14.1008
4622,48.1303,14.1449
4623,48.1496,13.9279
4624,48.1301,13.8571
4625,48.1514,13.8438
4631,48.2013,13.9616
4632,48.1913,13.8942
4633,48.1794,13.8537
4641,48.1141,14.0135
4642,48.074,14.0569
4643,47.964,14.0296
4644,47.903,13.9497
4645,47.7915,13.9465
4650,48.1027,13.8932
4651,48.0687,13.851
4652,48.0709,13.9698
4653,48.0295,13.9913
4654,48.0491,13.8838
4655,47.9863,13.9249
4656,47.9573,13.9056
4661,48.0281,13.8439
4662,47.9983,13.8044
4663,47.9838,13.8447
4664,47.957,13.8351
4671,48.1017,13.8199
4672,48.1356,13.7961
4673,48.1427,13.7367
4674,48.1437,13.6802
4675,48.1798,13.6861
4676,48.1846,13.7487
4680,48.1784,13.6308
4681,48.2139,13.6718
4682,48.1511,13.6391
4690,48.0527,13.7554
4691,48.0816,13.7871
4692,48.0998,13.7562
4693,48.0107,13.7714
4694,47.9702,13.7766
4701,48.235,13.9115
4702,48.2297,13.9618
4707,48.2277,13.8767
4710,48.2341,13.8083
4712,48.288,13.8197
4713,48.2029,13.8138
4714,48.1739,13.7952
4715,48.2542,13.7412
4716,48.2178,13.7341
4720,48.2857,13.7233
4721,48.3208,13.6894
4722,48.3323,13.7614
4723,48.4091,13.7203
4724,48.403,13.7923
4725,48.4711,13.7301
4730,48.3333,13.8481
4731,48.3132,13.9145
4732,48.286,13.8802
4733,48.3635,13.8204
4741,48.2433,13.6592
4742,48.2276,13.6145
4743,48.2347,13.5454
4751,48.2691,13.6325
4752,48.2951,13.6446
4753,48.2758,13.583
4754,48.2664,13.5182
4755,48.3186,13.6115
4760,48.3536,13.6469
4761,48.3937,13.6557
4762,48.3627,13.6969
4770,48.361,13.5703
4771,48.3926,13.6026
4772,48.3146,13.519
4773,48.3563,13.4848
4774,48.3772,13.4535
4775,48.4113,13.5315
4776,48.4142,13.5946
4777,48.3416,13.512
4780,48.4603,13.4363
4782,48.426,13.4674
4783,48.5033,13.4691
4784,48.5221,13.5092
4785,48.5645,13.5214
4786,48.4797,13.496
4791,48.4591,13.5182
4792,48.476,13.5745
4793,48.4781,13.6216
4794,48.4444,13.6609
4800,48.0188,13.7135
4801,47.8484,13.7536
4802,47.7809,13.7877
4810,47.8814,13.8228
4812,47.9477,13.7491
4813,47.8903,13.7605
4814,47.8753,13.7023
4816,47.9384,13.8465
4817,47.9031,13.8831
4820,47.7345,13.6333
4821,47.6808,13.6187
4822,47.6268,13.6196
4823,47.5833,13.6529
4824,47.5833,13.5738
4825,47.5189,13.5301
4830,47.5289,13.5961
4831,47.5214,13.7008
4840,48.0193,13.6536
4841,48.0443,13.6143
4842,48.0793,13.5894
4843,48.0932,13.558
4844,47.9819,13.6719
4845,47.9629,13.7184
4846,48.0322,13.7496
4849,48.0467,13.5778
4850,48.0081,13.6102
4851,47.9959,13.5522
4852,47.8865,13.6026
4853,47.8105,13.5781
4854,47.7909,13.5147
4860,47.9737,13.6201
4861,47.942,13.6403
4863,47.9546,13.5665
4864,47.9073,13.5247
4865,47.8644,13.5099
4866,47.8071,13.4736
4870,47.9938,13.4885
4871,48.0355,13.4959
4872,48.0454,13.5431
4873,48.0793,13.4672
4880,47.9415,13.4866
4881,47.9087,13.4458
4882,47.8589,13.4291
